Player,Pos,G,FG,3P,FT,TRB,AST,STL,BLK,TOV,PTS
,,,,,,,,,,,
Precious Achiuwa\achiupr01,C,73,265,56,78,473,82,37,41,84,664
Steven Adams\adamsst01,C,76,210,0,108,760,256,65,60,115,528
Bam Adebayo\adebaba01,C,56,406,0,256,564,190,80,44,148,1068
Santi Aldama\aldamsa01,PF,32,53,6,20,87,21,6,10,16,132
LaMarcus Aldridge\aldrila01,C,47,252,14,89,258,42,14,47,44,607
Nickeil Alexander-Walker\alexani01,SG,65,253,105,81,187,156,46,23,93,692
Grayson Allen\allengr01,SG,66,255,159,64,222,100,46,18,43,733
Jarrett Allen\allenja01,C,56,369,1,165,602,92,44,75,94,904
Jose Alvarado\alvarjo01,PG,54,131,32,36,100,152,71,7,40,330
Justin Anderson\anderju01,SF,16,36,15,15,46,33,8,6,8,102
Kyle Anderson\anderky01,PF,69,209,36,67,368,183,77,45,71,521
Giannis Antetokounmpo\antetgi01,PF,67,689,71,553,778,388,72,91,219,2002
Thanasis Antetokounmpo\antetth01,SF,48,70,2,29,101,22,16,12,26,171
Carmelo Anthony\anthoca01,PF,69,319,149,132,288,68,47,52,59,919
Cole Anthony\anthoco01,PG,65,357,132,216,348,369,46,17,170,1062
OG Anunoby\anunoog01,SF,48,309,115,89,264,125,71,25,80,822
Ryan Arcidiacono\arcidry01,PG,10,6,4,0,8,4,1,0,3,16
Trevor Ariza\arizatr01,SF,24,33,20,10,82,27,13,6,11,96
D.J. Augustin\augusdj01,PG,55,94,68,38,68,107,17,1,56,294
Deni Avdija\avdijde01,SF,82,250,82,103,425,167,59,44,87,685
Joel Ayayi\ayayijo01,SG,7,1,0,0,3,4,0,0,0,2
Deandre Ayton\aytonde01,C,58,442,7,106,593,84,40,40,91,997
Udoka Azubuike\azubuud01,C,17,37,0,6,71,0,1,11,12,80
Marvin Bagley III\baglema01,PF,48,225,23,67,338,36,22,18,39,540
LaMelo Ball\ballla01,PG,75,538,220,212,501,571,119,30,245,1508
Lonzo Ball\balllo01,PG,35,162,110,21,190,178,64,31,82,455
Mo Bamba\bambamo01,C,71,296,107,57,572,85,38,118,77,756
Desmond Bane\banede01,SF,76,508,228,140,334,208,92,29,111,1384
Dalano Banton\bantoda01,SF,64,83,13,26,124,99,28,10,53,205
Cat Barber\barbeca01,PG,3,0,0,0,3,3,0,0,1,0
Harrison Barnes\barneha02,PF,77,391,142,341,432,186,53,14,118,1265
Scottie Barnes\barnesc01,PF,74,459,58,158,557,256,80,55,136,1134
RJ Barrett\barrerj01,SF,70,487,138,290,408,208,43,16,151,1402
Will Barton\bartowi01,SG,71,392,157,102,340,276,55,31,127,1043
Paris Bass\basspa01,SF,2,2,0,2,4,0,1,0,2,6
Charles Bassey\bassech01,PF,23,30,0,9,62,7,5,17,8,69
Keita Bates-Diop\bateske01,SF,59,136,17,46,231,41,27,14,45,335
Nicolas Batum\batumni01,PF,59,179,108,25,254,100,58,42,40,491
Kent Bazemore\bazemke01,SF,39,45,29,13,69,34,25,9,21,132
Darius Bazley\bazleda01,PF,69,274,80,117,436,97,58,70,90,745
Bradley Beal\bealbr01,SG,40,348,63,169,189,265,36,15,135,928
Malik Beasley\beaslma01,SG,79,332,240,49,227,116,43,12,43,953
Jordan Bell\belljo01,C,1,0,0,0,1,0,1,0,0,0
DeAndre' Bembry\bembrde01,SF,56,124,15,21,163,66,49,25,31,284
D?vis Bert?ns\bertada01,PF,56,99,77,36,117,31,17,12,19,311
Patrick Beverley\beverpa01,PG,58,177,83,96,240,268,67,52,73,533
Saddiq Bey\beysa01,SF,82,450,211,210,441,233,73,16,96,1321
Khem Birch\birchkh01,C,55,97,0,53,239,56,30,26,29,247
Goga Bitadze\bitadgo01,C,50,131,23,64,177,55,21,42,46,349
Bismack Biyombo\biyombi01,C,36,86,0,38,167,23,12,26,25,210
Nemanja Bjelica\bjeline01,C,71,160,54,59,294,159,41,26,87,433
Eric Bledsoe\bledser01,PG,54,197,51,89,182,225,69,19,116,534
Keljin Blevins\blevike01,SF,31,34,21,6,45,19,13,1,17,95
Bogdan Bogdanovi?\bogdabo01,SG,63,342,169,97,250,194,68,14,70,950
Bojan Bogdanovi?\bogdabo02,PF,69,422,181,223,296,120,34,1,118,1248
Bol Bol\bolbo01,PF,14,15,1,2,20,5,1,2,4,33
Leandro Bolmaro\bolmale01,SF,35,17,5,11,43,21,6,0,13,50
Isaac Bonga\bongais01,SF,15,3,1,5,7,4,8,2,2,12
Devin Booker\bookede01,SG,68,662,183,315,342,329,77,26,162,1822
Brandon Boston Jr.\bostobr01,SG,51,125,34,59,111,51,26,13,31,343
Chris Boucher\bouchch01,PF,80,268,68,150,494,25,49,75,42,754
James Bouknight\bouknja01,SG,31,49,17,27,52,26,7,1,15,142
Avery Bradley\bradlav01,SG,62,148,82,16,136,47,53,9,38,394
Tony Bradley\bradlto01,C,55,72,0,19,186,27,10,33,34,163
Ignas Brazdeikis\brazdig01,SF,42,81,27,21,72,37,10,3,17,210
Mikal Bridges\bridgmi01,SF,82,458,115,131,347,185,96,36,68,1162
Miles Bridges\bridgmi02,PF,80,596,154,267,559,300,74,67,150,1613
Oshae Brissett\brissos01,SF,67,208,83,114,358,72,44,29,54,613
Malcolm Brogdon\brogdma01,PG,36,243,58,143,185,212,30,14,77,687
Armoni Brooks\brookar01,SG-PG,54,98,74,18,103,62,28,11,27,288
Dillon Brooks\brookdi01,SF,32,227,46,90,102,88,36,8,50,590
Bruce Brown\brownbr01,SF,72,256,38,97,345,148,77,52,56,647
Charlie Brown Jr.\brownch02,SG,22,10,1,9,32,6,10,4,5,30
Chaundee Brown Jr.\brownch05,SG-SF,5,10,6,5,16,4,2,0,1,31
Greg Brown III\browngr01,SF,48,81,19,44,135,35,26,24,36,225
Jaylen Brown\brownja02,SF,66,576,166,241,404,231,70,18,178,1559
Moses Brown\brownmo01,C,40,64,0,43,135,1,7,16,20,171
Sterling Brown\brownst02,SG,49,59,28,14,149,34,14,7,23,160
Troy Brown Jr.\browntr01,SF,66,108,47,20,203,66,36,5,26,283
Jalen Brunson\brunsja01,PG,79,506,94,179,309,377,66,3,124,1285
Thomas Bryant\bryanth01,C,27,77,12,35,108,23,6,21,19,201
Shaq Buchanan\buchash01,PG,2,1,0,0,2,2,1,0,2,2
Reggie Bullock\bullore01,SF,68,201,141,40,241,83,41,14,40,583
Trey Burke\burketr01,PG,42,84,26,20,33,57,12,0,26,214
Alec Burks\burksal01,SG,81,285,157,217,397,239,85,26,91,944
